Geneid	ck18FL1	ck18FL2	ck18FL3	ck18FL4	ck18HL1	ck18HL2	ck18HL3	ck18HL4	ck18K1	ck18k2	ck18K3	ck18K4
gene15126	781	426	333	567	606	327	619	372	442	507	408	2172
gene15127	46	55	17	29	21	23	40	20	23	50	31	127
gene15128	0	0	0	0	0	0	0	0	0	0	1	1
gene15129	1	0	0	1	0	0	1	0	0	0	0	0
gene15130	13	17	21	27	33	14	26	7	13	23	13	67
gene15131	1823	1849	964	1378	1662	2188	2031	1001	1019	2615	1392	6353
gene15132	798	575	406	592	506	475	645	355	476	861	633	2554
gene15133	1315	866	543	919	1030	663	865	505	733	987	774	3424
gene15134	18	12	11	15	11	15	23	10	9	9	6	32
gene15135	1010	974	453	673	898	829	779	360	596	1123	650	3111
gene15136	7	7	1	5	6	15	2	1	5	16	4	11
gene15137	5	2	0	2	3	0	0	0	1	0	1	6
gene15138	0	0	0	0	0	0	0	0	0	1	0	0
gene15139	1	2	0	2	1	0	0	0	2	1	0	2
gene15140	0	0	0	0	0	0	0	0	0	0	0	0
gene15141	1238	1105	789	1064	852	843	1214	591	655	983	982	3521
gene15142	0	1	0	0	1	0	2	1	1	0	0	3
gene15143	1021	754	412	669	709	511	683	392	424	670	544	2221
gene15144	20	10	21	15	15	16	15	13	15	19	12	61
gene15145	1039	993	669	1064	988	835	1060	638	547	1032	835	3549
gene15146	0	0	0	0	0	0	0	0	0	0	0	0
gene15147	0	1	0	0	1	2	0	0	0	0	0	0
gene15148	0	0	0	0	0	0	0	0	0	0	0	0
gene15149	0	0	0	0	0	0	0	0	0	0	0	0
gene15150	0	0	0	0	0	0	0	0	0	0	0	0
gene15151	8	4	4	9	5	3	4	3	13	19	11	57
gene15152	4127	3860	1842	2774	3712	3726	3248	1811	2056	4021	1963	9518
gene15153	9419	8062	4999	6945	7614	6477	7609	4296	4394	8511	6144	23087
gene15154	1	4	0	3	3	0	2	0	9	2	5	8
gene15155	957	714	375	591	745	693	541	313	531	994	495	2209
gene15156	7024	6075	3775	5281	5772	4863	5963	3336	3126	6203	3950	17873
gene15157	13121	10938	5427	7380	10826	9132	7813	4828	5898	10963	6153	23783
gene15158	86	71	49	59	81	52	56	34	43	75	62	239
gene15159	6774	5381	3301	5032	5462	4635	5098	3038	2761	5085	3630	15015
gene15160	2693	1951	1087	1796	2283	1518	1739	1060	1379	2015	1410	6355
gene15161	2763	2221	1348	1975	2348	1804	2008	1220	1410	2374	1493	6167
gene15162	1554	1122	595	983	1279	928	930	605	1013	1451	1020	4245
gene15163	429	282	166	202	279	202	160	147	371	494	273	1256
gene15164	2524	2080	1350	1931	1934	1736	2062	1108	1311	2444	1611	7290
gene15165	5138	4212	2634	3724	3708	3242	3806	2175	2645	4732	3133	13258
gene15166	1480	744	608	928	1081	551	870	555	679	791	773	3583
gene15167	1	0	0	0	0	0	0	0	0	0	0	1
gene15168	1010	716	448	759	868	532	666	420	519	716	485	2450
gene15169	1558	1222	792	1164	1246	972	1170	604	1103	1742	1354	5153
gene15183	0	0	8	8	0	0	17	6	0	0	13	40
gene15184	11	4	19	19	4	5	33	12	20	29	38	178
gene15185	3	12	41	80	4	9	92	37	37	65	104	535
gene15186	1536	1621	956	1542	1337	1426	1587	892	881	1909	1033	5178
gene15187	360	582	392	606	375	547	715	414	239	714	576	2371
gene15188	0	1	0	0	0	0	0	0	0	0	0	0
gene15189	12	14	0	3	2	9	2	1	10	19	0	15
gene15190	784	891	483	577	848	748	744	345	334	870	561	1637
gene15191	0	0	0	0	0	0	0	0	0	0	0	0
gene15192	60	28	46	53	38	20	47	37	36	29	39	175
gene15193	912	506	317	621	736	419	577	302	382	440	384	1722
gene15194	1457	954	630	916	1293	883	1080	589	593	943	626	2762
gene15195	580	735	390	428	644	623	606	316	329	829	437	1611
gene15196	0	2	0	1	0	1	0	0	2	0	0	1
gene15197	0	1	0	0	1	0	0	0	0	1	0	1
gene15198	14006	11098	7184	11649	11109	8953	10655	7115	5008	9097	6915	30637
gene15199	313	291	155	159	326	314	295	101	156	335	158	602
gene15200	91	64	50	63	53	49	71	32	83	152	91	310
gene15201	0	0	0	0	0	0	1	0	0	0	0	0
gene15202	920	673	371	607	893	557	663	355	296	492	300	1308
gene15203	7848	6353	3074	4500	5360	5519	5759	2902	2323	5216	2999	12433
gene15204	4859	3801	2107	3556	3452	3159	3685	2150	1753	3122	2037	9260
gene15205	98	38	26	29	72	30	37	11	31	36	23	81
gene15206	0	0	0	0	0	0	0	0	0	0	0	0
gene15207	16	9	7	4	16	10	23	8	31	23	18	71
gene15208	0	0	0	1	3	1	1	1	0	0	1	2
gene15209	0	0	0	0	0	0	1	0	0	1	0	0
gene15210	0	0	0	0	0	0	0	0	0	0	0	0
gene15211	0	0	0	0	0	0	0	0	0	0	0	0
gene15212	0	0	0	0	0	0	0	0	0	0	0	0
gene15213	3	4	4	7	8	1	5	4	3	5	0	13
gene15214	111	82	58	67	87	52	55	41	42	48	51	242
gene15215	112	67	51	101	146	52	93	61	82	56	75	317
gene15216	608	364	350	525	540	284	531	314	294	334	410	1785
gene15217	2	6	2	4	10	5	13	3	8	13	9	56
gene15218	0	0	0	0	0	0	0	0	0	0	1	0
gene15219	1207	1018	746	1253	1100	947	1369	808	711	1296	994	4869
gene15220	208	296	118	124	213	294	229	109	159	458	172	657
gene15221	45	62	19	36	60	75	68	38	31	46	40	121
gene15222	0	0	0	0	0	0	0	0	0	0	0	0
gene15223	0	1	0	0	1	0	0	0	1	0	1	1
gene15224	2	0	7	3	1	5	5	2	1	1	3	13
gene15225	0	0	0	0	0	0	0	0	0	0	0	0
gene15226	79	46	22	41	79	48	43	25	30	43	24	127
gene15227	0	0	0	0	0	0	0	0	0	0	0	0
gene15228	395	268	218	385	319	266	454	241	241	322	326	1650
gene15229	171	127	72	103	110	77	118	55	102	179	89	448
gene15230	276	324	115	133	296	347	320	100	182	553	163	1014
gene15231	21	16	2	8	28	24	17	8	13	15	3	44
gene15232	38	19	12	16	23	28	21	14	26	43	14	121
gene15233	462	470	155	212	370	476	299	126	358	603	202	1248
gene15234	661	809	365	511	373	483	447	195	276	809	618	2265
gene15235	950	786	367	599	749	825	710	359	377	788	430	2042
gene15236	12	16	11	7	11	13	6	9	8	19	26	47
gene15237	0	0	0	0	0	0	0	0	0	0	0	0
gene15238	0	0	0	0	0	0	0	0	0	0	0	1
gene15239	163	164	101	161	193	131	178	110	98	145	122	569
gene15240	1513	978	625	880	1261	989	1043	552	625	1017	739	2987
gene15241	41	38	15	20	52	51	46	35	15	16	15	28
gene15242	3124	2484	1415	1848	2129	1513	1529	930	246	371	281	1090
gene15243	2699	2515	1140	1449	2346	2030	2166	1141	1110	2622	1400	4794
gene15244	0	0	0	0	0	0	0	0	0	0	0	0
gene15245	0	0	0	0	0	0	1	0	0	0	0	0
gene15246	0	0	0	0	0	0	0	0	0	0	0	0
gene15247	0	0	0	0	0	0	0	0	0	0	0	0
gene15248	0	0	0	0	1	3	0	0	1	0	0	4
gene15249	5	7	3	3	4	15	7	4	10	12	10	43
gene15250	74	26	21	57	60	19	44	18	54	29	57	263
gene15251	29	7	7	4	23	10	6	3	4	18	4	41
gene15252	16	8	11	7	27	4	16	12	22	17	15	64
gene15253	0	0	0	0	0	0	0	1	0	0	0	0
gene15254	1166	1018	460	628	904	772	797	391	717	1358	870	3072
gene15255	6	11	1	6	15	9	12	8	11	15	11	38
gene15256	1352	1018	647	949	1095	855	1127	553	527	1048	751	2844
gene15257	42	36	22	51	71	48	70	44	15	18	17	84
gene15258	2442	2119	1311	1817	1988	1648	1926	1061	1383	2305	1915	6884
gene15259	5802	5871	3552	5439	6455	6866	8949	4592	3471	8117	6021	23902
gene15260	4372	3892	3499	5247	3693	3282	5502	3003	1851	3513	3565	15026
gene15261	4497	3687	2704	4160	3572	2967	3673	2377	1370	2666	2052	8299
gene15262	0	0	0	0	0	0	0	0	0	0	0	1
gene15263	160	189	100	102	174	138	148	62	94	109	76	254
gene15264	0	0	0	0	0	1	1	1	1	3	1	6
gene15265	19	26	13	29	14	16	21	13	23	30	63	119
gene15266	6393	5101	2103	2795	5304	4438	2928	2023	2236	4108	2003	6903
gene15267	7007	4730	2526	4035	5489	3900	3431	2505	3886	5538	3548	14125
gene15268	334	333	179	240	287	205	273	148	266	415	257	965
gene15269	2296	1319	1033	1508	1813	1013	1382	956	1020	1247	1058	4142
gene15270	219	142	115	141	183	132	205	118	126	129	125	463
gene15271	0	2	1	0	3	0	1	0	1	0	0	3
gene15272	536	392	259	460	351	300	314	216	483	538	290	1392
gene15273	492	353	169	343	452	384	364	213	227	451	267	1232
gene15274	5932	5286	3122	4484	5057	4667	4954	2871	2305	5114	3139	12563
gene15275	12824	10781	7449	10856	11340	9913	12732	7134	4685	9578	6935	30678
gene15276	246	247	144	247	291	244	238	144	141	203	157	692
gene15277	4300	3350	2061	3067	3683	2893	3276	1971	1676	3024	2167	8935
gene15278	2457	1693	1237	1826	2224	1532	2026	1229	1176	1776	1521	5914
gene15279	966	738	400	610	894	702	686	444	440	793	559	2074
gene15280	4554	3892	1692	1898	2821	2565	2485	1420	4450	4146	1895	8320
gene15281	0	2	3	0	0	2	2	0	0	2	0	1
gene15282	35	31	40	64	34	57	51	37	65	92	100	519
gene15283	4	7	2	4	1	0	1	1	5	15	4	6
gene15284	122	119	74	90	75	120	111	62	77	164	89	408
gene15285	5818	6258	3289	4396	3761	3914	4530	2052	4120	7411	5733	18930
gene15286	475	431	192	301	417	422	360	212	356	588	262	1300
gene15287	476	352	195	255	362	336	418	166	291	439	314	1525
gene15288	1295	1107	873	1258	1046	822	1342	731	718	1283	1156	4639
gene15289	1499	1311	679	943	1289	1186	992	687	587	1125	697	2652
gene15290	91	63	39	55	73	67	75	41	43	63	53	204
gene15291	4222	3096	1963	3039	3578	2754	3196	1912	2173	3858	2679	11468
gene15292	1141	1050	801	1152	1078	856	1290	646	567	1117	763	3656
gene15293	97	106	53	64	86	107	86	41	100	160	76	372
gene15294	7	7	2	7	4	4	6	2	5	9	2	41
gene15295	733	511	351	541	563	504	604	324	306	620	405	1816
gene15296	4	5	1	2	3	7	2	0	3	8	7	15
gene15297	7086	5762	3069	4253	4916	4408	4284	2625	2787	5199	2914	12047
gene15298	721	687	213	333	170	162	94	51	455	641	202	1254
gene15299	6	5	1	0	1	1	0	0	1	0	1	6
gene15300	10568	8324	5153	7901	8539	7136	7479	4578	4253	7212	4362	20386
gene15301	79	61	58	63	48	48	49	40	67	106	86	305
gene15302	430	341	199	331	324	261	332	188	263	445	277	1324
gene15303	3413	3027	1889	2729	2891	2625	3010	1611	1573	2939	1807	8304
gene15304	1000	689	402	583	687	580	611	327	514	867	561	2142
gene15305	9746	8422	5868	8689	8267	7061	8874	5219	4005	7883	5831	24288
gene15306	117	136	42	71	69	99	108	45	126	208	139	538
gene15307	5	1	3	3	3	3	7	4	10	11	12	55
gene15308	129	147	66	63	81	104	77	36	897	1275	651	2918
gene15309	7349	5534	3317	5236	5632	4343	5505	3159	4541	6538	4725	22167
gene15310	264	548	191	233	246	530	329	124	179	651	289	882
gene15311	2	7	0	2	4	5	1	0	1	7	2	17
gene15312	238	202	92	175	217	191	217	102	170	347	177	857
gene15313	758	671	360	530	626	529	506	296	423	896	525	1799
gene15314	4534	3984	2669	3840	3961	3551	4106	2341	1817	3731	2731	10702
gene15315	16	19	3	11	7	4	5	1	6	11	9	28
gene15316	0	0	0	0	0	0	0	0	0	0	0	0
