Geneid	583FL	583HL	583K	595FL	595HL	595K	707FL	707HL	707K	710FL	710HL
DNOV00004235	999	1314	758	672	977	685	1739	1192	1108	761	993
DNOV00004236	3611	4615	2366	1872	2990	1891	7321	4381	3716	2900	3565
DNOV00004237	0	0	0	0	0	0	0	0	0	0	0
DNOV00004238	2514	3820	1579	1337	2297	1286	3358	2237	1765	1296	1790
DNOV00004239	0	7	1	2	1	0	3	3	0	0	0
DNOV00004240	8	13	2	20	12	11	14	7	7	11	15
DNOV00004241	38	90	22	51	70	53	51	39	35	44	61
DNOV00004242	6	17	2	4	20	11	13	12	7	9	19
DNOV00004243	1021	1756	659	634	1188	601	1816	1338	882	731	1050
DNOV00004244	604	686	421	335	366	273	742	448	362	269	208
DNOV00004245	16	12	4	1	5	2	9	5	6	4	3
DNOV00004246	3	1	0	0	0	1	0	1	0	0	2
DNOV00004247	1699	2607	1004	1063	1581	845	2107	1600	1067	972	1490
DNOV00004248	625	850	399	486	796	449	1062	655	517	449	686
DNOV00004249	0	0	0	0	0	0	0	0	0	1	0
DNOV00004250	274	333	233	120	160	106	354	209	182	114	173
DNOV00004251	306	428	243	215	335	247	475	304	241	213	279
DNOV00004252	3	3	5	0	1	0	1	4	1	1	0
DNOV00004253	1361	1823	862	906	1154	860	2112	1336	1080	853	1116
DNOV00004254	34366	41263	24960	22419	25884	19568	55326	31712	27760	21900	27730
DNOV00004255	235	261	171	138	156	120	363	215	262	143	211
DNOV00004256	1780	2533	1237	1036	1556	1073	2878	1901	1531	1150	1620
DNOV00004257	573	579	445	384	399	331	1004	570	592	525	501
DNOV00004258	437	556	308	241	409	293	842	480	372	306	429
DNOV00004259	22	32	10	10	21	13	45	18	18	18	22
DNOV00004260	663	955	440	449	692	406	1088	792	568	489	715
